PlanName,BeamSetName,TemplateName,TreatmentTechnique,PatientPosition,BeamName,BeamDescription,GantryStart,GantryStop,ArcDirection,CollimatorAngle,CouchAngle)
HFS BeamTemplate-VMAT,VMAT_Brai_RigPos,Brai RightPosterior 5Arc,VMAT,HeadFirstSupine,5_<SITE>_Arc_c300,5 VMA: CW Arc,80,170,Clockwise,5,300
HFS BeamTemplate-VMAT,VMAT_BreChw_Lef,Bre/Chw Left 4Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,310,355,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Lef,Bre/Chw Left 4Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,356,311,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Lef,Bre/Chw Left 4Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c000,3 VMA: CW Arc,115,179,Clockwise,10,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Lef,Bre/Chw Left 4Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c000,4 VMA: CCW Arc,178,114,CounterClockwise,350,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Rig,Bre/Chw Right 4Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,5,50,Clockwise,15,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Rig,Bre/Chw Right 4Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,51,6,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Rig,Bre/Chw Right 4Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c000,3 VMA: CCW Arc,245,181,CounterClockwise,10,0
HFS BeamTemplate-VMAT,VMAT_BreChw_Rig,Bre/Chw Right 4Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c000,4 VMA: CW Arc,182,246,Clockwise,350,0
HFS BeamTemplate-VMAT,VMA_AbdPel_Ce_2A,AbdPelv Central 2Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,192,168,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdPel_Ce_2A,AbdPelv Central 2Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,163,187,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,192,168,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,163,187,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMA_AbdPel_Ce_3A,AbdPelv Central 3Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c000,3 VMA: CW Arc,192,168,Clockwise,270,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_2A,LungAbd Left 2Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,346,178,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_2A,LungAbd Left 2Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,173,341,CounterClockwise,350,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,346,178,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,173,341,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstSupine,3_<SITE>_Arc_c015,3 VMA: CW Arc,344,80,Clockwise,10,15
HFS BeamTemplate-VMAT,VMA_AbdLun_Lt_4A,LungAbd Left NORPM 4Arc ,VMAT,HeadFirstSupine,4_<SITE>_Arc_c090,4 VMA: CCW Arc,21,333,CounterClockwise,90,90
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_2A,LungAbd Right 2Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,182,14,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_2A,LungAbd Right 2Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,19,187,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_4A,LungAbd Right NORPM 4Arc,VMAT,HeadFirstSupine,1_<SITE>_Arc_c000,1 VMA: CW Arc,182,14,Clockwise,15,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_4A,LungAbd Right NORPM 4Arc,VMAT,HeadFirstSupine,2_<SITE>_Arc_c000,2 VMA: CCW Arc,19,187,CounterClockwise,355,0
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_4A,LungAbd Right NORPM 4Arc,VMAT,HeadFirstSupine,3_<SITE>_Arc_c345,3 VMA: CW Arc,282,18,Clockwise,10,345
HFS BeamTemplate-VMAT,VMA_AbdLun_Rt_4A,LungAbd Right NORPM 4Arc,VMAT,HeadFirstSupine,4_<SITE>_Arc_c270,4 VMA: CCW Arc,21,333,CounterClockwise,90,270
